mass,tanphi,width,total width/mass,primary decay channel,primary decay branching,second decay channel,second decay branching,third decay channel,third decay branching,fourth decay channel,fourth decay branching
3.555556e+02,1.000000e-02,2.253414e+02,0.633772608278,t c~,4.547241e-01,c t~,4.547241e-01,c c~,5.027907e-02,u t~,1.981491e-02
3.555556e+02,2.782559e-02,2.912915e+01,0.0819257241343,c t~,4.549438e-01,t c~,4.549438e-01,c c~,5.023572e-02,t u~,1.982448e-02
3.555556e+02,7.742637e-02,3.814256e+00,0.0107275936591,c t~,4.534254e-01,t c~,4.534254e-01,c c~,4.955064e-02,u t~,1.975832e-02
3.555556e+02,2.154435e-01,7.529907e-01,0.00211778607903,t c~,3.209625e-01,c t~,3.209625e-01,t t~,2.976805e-01,c c~,3.242207e-02
3.555556e+02,5.994843e-01,1.970230e+00,0.00554127118234,t t~,9.425938e-01,t c~,2.673697e-02,c t~,2.673697e-02,c c~,1.602104e-03
3.555556e+02,1.668101e+00,1.461335e+01,0.0411000417375,t t~,9.924481e-01,t c~,3.604784e-03,c t~,3.604784e-03,t u~,1.570809e-04
3.555556e+02,4.641589e+00,1.129201e+02,0.317587741552,t t~,9.955324e-01,t c~,2.140291e-03,c t~,2.140291e-03,t u~,9.326462e-05
3.555556e+02,1.291550e+01,8.741276e+02,2.45848356769,t t~,9.958705e-01,t c~,1.978523e-03,c t~,1.978523e-03,t u~,8.621548e-05
3.555556e+02,3.593814e+01,6.767886e+03,19.0346769957,t t~,9.959132e-01,t c~,1.958089e-03,c t~,1.958089e-03,t u~,8.532506e-05
3.555556e+02,1.000000e+02,5.240111e+04,147.378103453,t t~,9.959187e-01,t c~,1.955458e-03,c t~,1.955458e-03,u t~,8.521039e-05
3.777778e+02,1.000000e-02,2.556574e+02,0.676740136662,t c~,4.560904e-01,c t~,4.560904e-01,c c~,4.708688e-02,u t~,1.987410e-02
3.777778e+02,2.782559e-02,3.304086e+01,0.0874610948552,c t~,4.564095e-01,t c~,4.564095e-01,c c~,4.705646e-02,t u~,1.988801e-02
3.777778e+02,7.742637e-02,4.335465e+00,0.0114762302073,c t~,4.539421e-01,t c~,4.539421e-01,c c~,4.631840e-02,t u~,1.978049e-02
3.777778e+02,2.154435e-01,9.892168e-01,0.00261851490479,t t~,3.935125e-01,t c~,2.780180e-01,c t~,2.780180e-01,c c~,2.622220e-02
3.777778e+02,5.994843e-01,3.353629e+00,0.0088772527131,t t~,9.616931e-01,t c~,1.787452e-02,c t~,1.787452e-02,c c~,1.000053e-03
3.777778e+02,1.668101e+00,2.531205e+01,0.0670024813528,t t~,9.950399e-01,t c~,2.368222e-03,c t~,2.368222e-03,t u~,1.031951e-04
3.777778e+02,4.641589e+00,1.957996e+02,0.518293028336,t t~,9.970681e-01,t c~,1.404600e-03,c t~,1.404600e-03,t u~,6.120533e-05
3.777778e+02,1.291550e+01,1.515885e+03,4.01263652867,t t~,9.972903e-01,t c~,1.298286e-03,c t~,1.298286e-03,t u~,5.657269e-05
3.777778e+02,3.593814e+01,1.173683e+04,31.0680775842,t t~,9.973183e-01,t c~,1.284858e-03,c t~,1.284858e-03,t u~,5.598759e-05
3.777778e+02,1.000000e+02,9.087387e+04,240.548465262,t t~,9.973219e-01,t c~,1.283129e-03,c t~,1.283129e-03,u t~,5.591224e-05
